gateway-1  | time=2026-07-10T19:44:24.817Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000004 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:25.085Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000005 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:25.120Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000006 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:25.397Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000007 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:25.912Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000008 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:27.499Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000009 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:27.590Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000010 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:27.757Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000011 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:27.895Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000012 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:27.919Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000013 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:28.209Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000014 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:29.181Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000015 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:29.674Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000016 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:30.047Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000017 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:30.061Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000018 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:30.456Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000019 error_class=canceled cancel_point=mid_stream status=499
gateway-1  | time=2026-07-10T19:44:30.510Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-mid-stream-r1-000020 error_class=canceled cancel_point=mid_stream status=499
